,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
min,shuffle1,-0.6074461136512084,0.5513040886283471,0.5284738041002278,0.433420365535248,0.433420365535248,0.433420365535248,0.433420365535248,0.433420365535248,0.433420365535248,-1.0275111593678368,0.05897072269069315,0.3925538863487916,0.1904810055447312
25%,shuffle1,-0.5258033924384881,0.627370145078176,0.5434485637308846,0.4873654064056051,0.4873654064056051,0.4873654064056051,0.4873654064056051,0.4873654064056051,0.4873654064056051,-0.60862778032192,0.20721225091648782,0.47419660756151194,0.3069269076399821
50%,shuffle1,-0.5062448197264815,0.6382476014818617,0.5553706652913154,0.5062448197264815,0.5062448197264815,0.5062448197264815,0.5062448197264815,0.5062448197264815,0.5062448197264815,-0.5587811226073613,0.2400357196980769,0.4937551802735184,0.3231358674741685
75%,shuffle1,-0.4873654064056051,0.6449759434674633,0.5669326204047483,0.5258033924384881,0.5258033924384881,0.5258033924384881,0.5258033924384881,0.5258033924384881,0.5258033924384881,-0.49443592696554606,0.26742281087487674,0.5126345935943949,0.3408498011389086
max,shuffle1,-0.433420365535248,0.6545894636924537,0.5797317436661699,0.6074461136512084,0.6074461136512084,0.6074461136512084,0.6074461136512084,0.6074461136512084,0.6074461136512084,-0.4087333976926346,0.29717334261406025,0.5665796344647521,0.3611782925544829
count,shuffle5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle5,-0.5099368028028792,0.6467555856472534,0.5472705305733705,0.5099368028028792,0.5099368028028792,0.5099368028028792,0.5099368028028792,0.5099368028028792,0.5099368028028792,-0.5641907553239911,0.2372421872328896,0.4900631971971208,0.32321644484014883
std,shuffle5,0.03318769617604214,0.005498061158665207,0.0064129327021336365,0.03318769617604214,0.03318769617604214,0.03318769617604214,0.03318769617604214,0.03318769617604214,0.03318769617604214,0.1262101525731876,0.04926153786652386,0.033187696176042156,0.03290192853741032
min,shuffle5,-0.6022207707380797,0.6338313070229039,0.5360953304697242,0.4339237057220709,0.4339237057220709,0.4339237057220709,0.4339237057220709,0.4339237057220709,0.4339237057220709,-1.0299885085699478,0.08443647058042493,0.3977792292619203,0.2128605686410069
25%,shuffle5,-0.5262633136810456,0.6427142478491134,0.542072409892635,0.4967564477062695,0.4967564477062695,0.4967564477062695,0.4967564477062695,0.4967564477062695,0.4967564477062695,-0.5975725796880798,0.21905105066342836,0.4737366863189544,0.31591569595191565
50%,shuffle5,-0.514929524823263,0.6466666382412687,0.5482501430864242,0.514929524823263,0.514929524823263,0.514929524823263,0.514929524823263,0.514929524823263,0.514929524823263,-0.5341606369662033,0.25463598559577316,0.485070475176737,0.32924262555537886
75%,shuffle5,-0.4967564477062695,0.6508832614235033,0.5509117222279483,0.5262633136810456,0.5262633136810456,0.5262633136810456,0.5262633136810456,0.5262633136810456,0.5262633136810456,-0.5038521483542282,0.267600424699292,0.5032435522937306,0.3442744018204486
max,shuffle5,-0.4339237057220709,0.6566285296500484,0.5633181559476379,0.6022207707380797,0.6022207707380797,0.6022207707380797,0.6022207707380797,0.6022207707380797,0.6022207707380797,-0.4047385309865261,0.3139453569991841,0.5660762942779292,0.3707884213822152
count,shuffle10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle10,-0.508634879680891,0.6485430670569459,0.5447446736409278,0.508634879680891,0.508634879680891,0.508634879680891,0.508634879680891,0.5086348796808912,0.5086348796808912,-0.5615020908451878,0.2352276095568445,0.49136512031910906,0.3222800675604656
std,shuffle10,0.03578509152718543,0.0051686577459936454,0.004996433764215099,0.03578509152718543,0.03578509152718543,0.03578509152718543,0.03578509152718543,0.03578509152718543,0.03578509152718543,0.12030087545164646,0.04972170982108972,0.03578509152718543,0.0326177315157702
min,shuffle10,-0.6061397779229262,0.6338746888815647,0.5361177406523469,0.4230245231607629,0.4230245231607629,0.4230245231607629,0.4230245231607629,0.4230245231607629,0.4230245231607629,-0.9931654612051906,0.09521225387867073,0.3938602220770738,0.21375051696616496
25%,shuffle10,-0.5315550517449987,0.6468758029054704,0.5410111918699819,0.48709407109367203,0.48709407109367203,0.48709407109367203,0.48709407109367203,0.48709407109367214,0.48709407109367214,-0.5996265675855437,0.21615660597567343,0.46844494825500127,0.31551443363023085
50%,shuffle10,-0.5105890185360384,0.6488371916214495,0.5438309183317698,0.5105890185360384,0.5105890185360384,0.5105890185360384,0.5105890185360384,0.5105890185360384,0.5105890185360384,-0.5334162877767175,0.246046899176096,0.4894109814639616,0.3262999010860164
75%,shuffle10,-0.48709407109367203,0.6525606652314278,0.5477283568188998,0.5315550517449987,0.5315550517449987,0.5315550517449987,0.5315550517449987,0.5315550517449987,0.5315550517449987,-0.48882199811162863,0.27065577768973065,0.512905928906328,0.34340965954073516
max,shuffle10,-0.4230245231607629,0.6567710884426177,0.5576675718164927,0.6061397779229262,0.6061397779229262,0.6061397779229262,0.6061397779229262,0.6061397779229262,0.6061397779229262,-0.4044806176241287,0.3026458101482322,0.5769754768392371,0.364239777237685
