,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
std,shuffle1,0.030913726905607192,0.051063717550748254,0.018226243066553353,0.030913726905607192,0.030913726905607192,0.030913726905607192,0.030913726905607185,0.030913726905607192,0.030913726905607192,0.09677261064398618,0.045006712692168105,0.030913726905607196,0.029199105326610904
min,shuffle1,-0.6087524493794906,0.6192723060675229,0.5383447228549735,0.4550408719346049,0.4550408719346049,0.4550408719346049,0.455040871934605,0.4550408719346049,0.4550408719346049,-0.8203803928013298,0.10911473600717304,0.3912475506205095,0.23663286272390535
25%,shuffle1,-0.5392955297050807,0.7209297099479577,0.568836318290109,0.5057355731647837,0.5057355731647837,0.5057355731647837,0.5057355731647837,0.5057355731647837,0.5057355731647837,-0.5698473691786043,0.24165277199916246,0.4607044702949193,0.32758235091884813
50%,shuffle1,-0.5205261441912195,0.759494904417289,0.5804438692478613,0.5205261441912195,0.5205261441912195,0.5205261441912195,0.5205261441912195,0.5205261441912195,0.5205261441912195,-0.4908992395252775,0.2662792231763134,0.47947385580878055,0.3429572437682067
75%,shuffle1,-0.5057355731647837,0.7893811625652161,0.5959375989863794,0.5392955297050807,0.5392955297050807,0.5392955297050807,0.5392955297050807,0.5392955297050807,0.5392955297050807,-0.46161748240961703,0.29293579958062355,0.49426442683521643,0.35433115638074564
max,shuffle1,-0.4550408719346049,0.8029919357980443,0.6130867709815079,0.6087524493794906,0.6087524493794906,0.6087524493794906,0.6087524493794906,0.6087524493794906,0.6087524493794906,-0.3817659202506858,0.32270841487279844,0.5449591280653951,0.3749656653046465
count,shuffle5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle5,-0.5256418468886717,0.7951603232770111,0.573697875005512,0.5256418468886717,0.5256418468886717,0.5256418468886717,0.5256418468886717,0.5256418468886717,0.5256418468886717,-0.5172999818557809,0.2622326089829824,0.4743581531113284,0.3389645357493424
std,shuffle5,0.032121434035899406,0.011267283163573125,0.00715575839039523,0.032121434035899406,0.032121434035899406,0.032121434035899406,0.032121434035899406,0.0321214340358994,0.0321214340358994,0.10290895765371537,0.04666780293356222,0.03212143403589938,0.030838726817929134
min,shuffle5,-0.6126714565643371,0.7456352652095997,0.5606207565470417,0.43869209809264303,0.43869209809264303,0.43869209809264303,0.43869209809264303,0.43869209809264303,0.43869209809264303,-0.8241571156079717,0.11191725028069456,0.387328543435663,0.23580801276923585
25%,shuffle5,-0.5431097428610898,0.792175658718219,0.5686002752417232,0.5106527562570581,0.5106527562570581,0.5106527562570581,0.5106527562570581,0.5106527562570581,0.5106527562570581,-0.5594833823169136,0.24830160254718786,0.45689025713891024,0.33172737347553277
50%,shuffle5,-0.522190500496962,0.7979353848764275,0.5718172090390173,0.522190500496962,0.522190500496962,0.522190500496962,0.522190500496962,0.522190500496962,0.522190500496962,-0.49315597076152995,0.27209513879447084,0.477809499503038,0.3451435316465336
75%,shuffle5,-0.5106527562570581,0.8024129708975911,0.5791985581809277,0.5431097428610898,0.5431097428610898,0.5431097428610898,0.5431097428610898,0.5431097428610898,0.5431097428610898,-0.46906942580602434,0.28953714411656944,0.4893472437429419,0.3577571887979692
max,shuffle5,-0.43869209809264303,0.8057511474559136,0.5881091896527083,0.6126714565643371,0.6126714565643371,0.6126714565643371,0.6126714565643371,0.6126714565643371,0.6126714565643371,-0.37258476711033306,0.32912937347436944,0.5613079019073569,0.3798401983322632
count,shuffle10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle10,-0.5239905999600595,0.7958786818487714,0.5693566628203683,0.5239905999600595,0.5239905999600595,0.5239905999600595,0.5239905999600595,0.5239905999600595,0.5239905999600595,-0.5213125142649799,0.25965925442063187,0.4760094000399405,0.3372605845674347
std,shuffle10,0.03209313051199181,0.005020831577256181,0.005012073403089666,0.03209313051199181,0.03209313051199181,0.03209313051199181,0.03209313051199181,0.032093130511991814,0.032093130511991814,0.10902451355721977,0.04747917359789767,0.032093130511991794,0.031359557751795754
min,shuffle10,-0.6192031352057479,0.7847411747669069,0.5596614368290669,0.43869209809264303,0.43869209809264303,0.43869209809264303,0.43869209809264303,0.43869209809264303,0.43869209809264303,-0.8874172226192212,0.1018592548205184,0.3807968647942521,0.2307599076869723
25%,shuffle10,-0.5374884156114355,0.7923400200777384,0.5666007413271343,0.5111964154755512,0.5111964154755512,0.5111964154755512,0.5111964154755512,0.5111964154755512,0.5111964154755512,-0.5683781737193623,0.2543376511896128,0.46251158438856455,0.33329576453713883
50%,shuffle10,-0.5225390452431069,0.7967354343181459,0.5681649946162263,0.5225390452431069,0.5225390452431069,0.5225390452431069,0.5225390452431069,0.5225390452431069,0.5225390452431069,-0.5084633260902943,0.26677144652430584,0.47746095475689304,0.3433614850328776
75%,shuffle10,-0.5111964154755512,0.8002255111795913,0.572838288168176,0.5374884156114355,0.5374884156114355,0.5374884156114355,0.5374884156114355,0.5374884156114355,0.5374884156114355,-0.4417291417396199,0.2903782204230318,0.48880358452444883,0.3564827807072794
max,shuffle10,-0.43869209809264303,0.8020859295615329,0.5815349435472346,0.6192031352057479,0.6192031352057479,0.6192031352057479,0.6192031352057479,0.6192031352057479,0.6192031352057479,-0.3786712180403844,0.3186287144655007,0.5613079019073569,0.3746572894385847
