,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,0.031556305,0.031577502,0.031615666,0.031635899,0.031666076,0.031702723,0.031754937,0.031813889,0.031873669,0.031956989,0.032049451,0.032118507,0.032225962,0.032344792,0.032460277,0.032576353,0.032693803,0.032811123,0.032927921,0.033045367,0.033168164,0.033289377,0.033410361,0.033516888,0.033598858,0.033692825,0.033781687,0.033870232,0.033953251,0.034030692,0.034096695,0.034158667,0.034229025,0.034294525,0.034359908,0.034428908,0.034362297,0.0343724,0.03441337,0.034451793
2,0.056770556,0.056863551,0.056981775,0.057058433,0.057149304,0.057251192,0.057373991,0.057507561,0.057646626,0.05781327,0.05798204,0.058106839,0.058310402,0.058529503,0.058733307,0.058928006,0.05913685,0.059351812,0.05956605,0.05978259,0.06000938,0.060225955,0.060439687,0.060626433,0.060764458,0.060910539,0.061042475,0.06118228,0.061322236,0.061457577,0.061573108,0.06168829,0.061818622,0.061928519,0.062034737,0.062159212,0.062053823,0.062080366,0.062164063,0.062242353
3,0.074876913,0.075032131,0.075223766,0.07536709,0.075508557,0.075659847,0.075838333,0.076026599,0.07622612,0.076459946,0.076691119,0.076861561,0.077127042,0.077409577,0.077671213,0.077920602,0.078185545,0.07846326,0.078735155,0.079008885,0.079292937,0.079567606,0.07984055,0.080075436,0.080252412,0.080450549,0.080635634,0.080823579,0.081005977,0.081177366,0.081324462,0.081450672,0.081585049,0.08169488,0.081797288,0.081915602,0.08169117,0.081682259,0.081756037,0.081832561
4,0.090051418,0.089840209,0.089698236,0.089457442,0.089172797,0.088959385,0.088817267,0.088727179,0.088691489,0.088758441,0.088930473,0.08909269,0.089381063,0.08969598,0.08999202,0.090284776,0.090592961,0.090902896,0.091217471,0.091534147,0.091859912,0.092178229,0.092500232,0.09278907,0.093011299,0.093258675,0.093478924,0.093704694,0.093928076,0.094139195,0.09431791,0.09448306,0.094663456,0.094816981,0.094960958,0.095128034,0.094950108,0.094965134,0.095067423,0.095161199
5,0.101827478,0.101620688,0.101496238,0.101273583,0.101012539,0.100832364,0.100721815,0.100640644,0.100585121,0.100566828,0.100583659,0.100573471,0.100811955,0.101123911,0.101421188,0.101718651,0.102033339,0.102349875,0.10267387,0.102995567,0.103326524,0.103652701,0.103986338,0.104290949,0.10452806,0.10479481,0.105034846,0.10528643,0.105535443,0.105773494,0.105977729,0.106171113,0.106376775,0.106552414,0.106717286,0.106904716,0.106740091,0.106768867,0.106884218,0.106988183
6,0.112790345,0.11269841,0.112691967,0.112532943,0.11230149,0.112148997,0.112057762,0.111975162,0.111924158,0.111901132,0.111902834,0.11180342,0.11184033,0.111932586,0.112021852,0.112107079,0.112234376,0.112382068,0.112540735,0.112671486,0.11284323,0.113024977,0.113229641,0.113381547,0.113484477,0.113613239,0.113711849,0.113812756,0.113950202,0.114129094,0.114346427,0.11457717,0.114825298,0.115041944,0.115248951,0.115484874,0.115361902,0.115430483,0.115587683,0.11573317
7,0.119804553,0.119760189,0.119806917,0.119699135,0.119520943,0.11942096,0.119379082,0.119340563,0.119335924,0.119356673,0.119402634,0.119350073,0.119436875,0.119583164,0.119726844,0.119866103,0.120035465,0.120227786,0.12043156,0.120597858,0.120806616,0.121021414,0.121262473,0.12145216,0.12159088,0.121759703,0.121895701,0.122035837,0.122210736,0.122411312,0.122608253,0.1227809,0.122978199,0.12314807,0.123325798,0.123533579,0.123393539,0.12345872,0.123614927,0.12374413
8,0.126427594,0.126401259,0.126470184,0.126386316,0.126227915,0.126149177,0.126132391,0.126116524,0.126135854,0.126178761,0.126239411,0.126203453,0.126313296,0.126487082,0.126662981,0.126839694,0.127009391,0.127201168,0.127399306,0.12753728,0.127727727,0.127930545,0.128164906,0.128340673,0.128459705,0.12860344,0.128708382,0.128805978,0.128947722,0.129127778,0.129320698,0.129496623,0.129706957,0.129907463,0.130135553,0.130412646,0.130350162,0.130443481,0.130627571,0.130741166
9,0.132350894,0.132336014,0.132419275,0.132327253,0.132160171,0.132085292,0.132084785,0.132090769,0.132149781,0.132266069,0.132419246,0.132482179,0.132682372,0.132954389,0.133220944,0.133476256,0.133653324,0.133847464,0.134034297,0.134069259,0.134122897,0.1341451,0.134396599,0.134605302,0.134759409,0.134943978,0.135082101,0.135200186,0.135347131,0.135519918,0.13569602,0.135841864,0.136011773,0.136166879,0.136353855,0.136576602,0.13652527,0.136648069,0.136857903,0.136983833
10,0.137894549,0.137897225,0.138010116,0.137955506,0.13782831,0.137803912,0.13786391,0.137931805,0.138058069,0.138263467,0.138512632,0.138680626,0.138687519,0.138944382,0.13922699,0.139506149,0.139706698,0.139922363,0.140135493,0.140200035,0.14028319,0.140294551,0.140336229,0.140372143,0.140408117,0.140528115,0.1406213,0.140712512,0.140855951,0.141052182,0.141271221,0.141487069,0.141745487,0.142029304,0.142328919,0.14263652,0.142595492,0.142676305,0.142847989,0.142887702
11,0.143171431,0.143194284,0.143335956,0.143301048,0.143209361,0.143216049,0.143304612,0.143431686,0.143723808,0.144073323,0.144366482,0.144557282,0.144464151,0.144487759,0.144685069,0.144954816,0.145153688,0.145366729,0.145582811,0.1456505,0.145734865,0.145743956,0.145783336,0.145815887,0.145846965,0.145965423,0.146055079,0.146146222,0.146290126,0.146483426,0.146695882,0.146905757,0.147159034,0.147435904,0.147734375,0.148041673,0.147995776,0.148072807,0.14824301,0.148279559
