,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
75%,shuffle5,-0.5077257725772577,0.7583252909021055,0.542852109698041,0.5490238110128403,0.5490238110128403,0.5490238110128403,0.5490238110128403,0.5490238110128403,0.5490238110128403,-0.37373544771925477,0.30811752042493223,0.4922742274227423,0.3684012770719615
max,shuffle5,-0.4524119947848762,0.8047432105404678,0.5511973575557391,0.578042328042328,0.578042328042328,0.578042328042328,0.578042328042328,0.578042328042328,0.578042328042328,-0.22693698890699165,0.3609204966590392,0.5475880052151239,0.4008797686718109
count,shuffle10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,shuffle10,-0.5221013441399907,0.7365923246988348,0.5388595800860824,0.5221013441399907,0.5221013441399907,0.5221013441399907,0.5221013441399907,0.5221013441399907,0.5221013441399907,-0.47399924168532515,0.27525325499167164,0.4778986558600093,0.34726857184056337
std,shuffle10,0.031080947750622343,0.03271362017835185,0.003728235469209766,0.031080947750622343,0.031080947750622343,0.031080947750622343,0.031080947750622343,0.03108094775062235,0.03108094775062235,0.14058879954656758,0.04224083153275966,0.03108094775062234,0.026992457389975716
min,shuffle10,-0.5794455713319809,0.6812070705426609,0.5328100470957614,0.4426336375488918,0.4426336375488918,0.4426336375488918,0.4426336375488918,0.4426336375488918,0.4426336375488918,-0.8178434149302047,0.18252498105229556,0.42055442866801895,0.2803076100237613
25%,shuffle10,-0.544859164242264,0.7107786760232236,0.5363841495431791,0.5008829166201494,0.5008829166201494,0.5008829166201494,0.5008829166201494,0.5008829166201494,0.5008829166201494,-0.5748346533180716,0.24362207075428927,0.4551408357577361,0.3286556591855755
50%,shuffle10,-0.520814618732448,0.7394069608953038,0.5377464487196687,0.520814618732448,0.520814618732448,0.520814618732448,0.520814618732448,0.520814618732448,0.520814618732448,-0.45325501374898214,0.2760945224665974,0.47918538126755184,0.3487716442825999
75%,shuffle10,-0.5008829166201494,0.7596157374425522,0.5414688312469582,0.544859164242264,0.544859164242264,0.544859164242264,0.544859164242264,0.544859164242264,0.544859164242264,-0.38312310866852095,0.30719223088521547,0.49911708337985056,0.3672404213450307
max,shuffle10,-0.4426336375488918,0.8248759404514167,0.5474947454064683,0.5794455713319809,0.5794455713319809,0.5794455713319809,0.5794455713319809,0.5794455713319809,0.5794455713319809,-0.21156424668106236,0.3627168380866084,0.5573663624511083,0.3994299143486302
