,batch_size,num_Dense_layer,num_GRU_layer,reduced_dimension,verbosity,loss,accuracy_train,accuracy_valid,status
0,128.0,1.0,1.0,0.0,-1.0,0.6524548888056407,0.5671562456454342,0.34754511119435927,ok
1,128.0,1.0,1.0,0.0,-1.0,0.6542173730466629,0.5649461463024973,0.3457826269533371,ok
2,512.0,1.0,1.0,0.0,-1.0,0.6522031052368706,0.5393761364725657,0.3477968947631293,ok
3,512.0,1.0,1.0,0.0,-1.0,0.6492656314368014,0.5254161420527463,0.3507343685631986,ok
4,512.0,1.0,1.0,0.0,-1.0,0.6549727235828885,0.5278220729521729,0.3450272764171115,ok
5,128.0,1.0,1.0,0.0,-1.0,0.6471674360150406,0.5619247447328811,0.3528325639849594,ok
6,128.0,1.0,1.0,0.0,-1.0,0.6574905581100119,0.5701496712726919,0.34250944188998816,ok
7,512.0,1.0,1.0,0.0,-1.0,0.6557280736914013,0.5146733812092568,0.3442719263085987,ok
8,512.0,1.0,1.0,0.0,-1.0,0.6441460342878461,0.5413344523592885,0.3558539657121539,ok
9,512.0,1.0,1.0,0.0,-1.0,0.6574066302779338,0.5400195832535309,0.34259336972206617,ok
10,512.0,1.0,1.0,0.0,-1.0,0.6431389006280719,0.5335571411223258,0.3568610993719281,ok
11,512.0,1.0,1.0,0.0,-1.0,0.6574066301628766,0.5378094835187325,0.3425933698371234,ok
12,512.0,1.0,1.0,0.0,-1.0,0.6498531262188262,0.5344523711477331,0.3501468737811738,ok
13,512.0,1.0,1.0,0.0,-1.0,0.6556441461594726,0.5312631140540306,0.3443558538405274,ok
14,128.0,1.0,1.0,0.0,-1.0,0.6536298782996555,0.5583438243219312,0.3463701217003445,ok
15,128.0,1.0,1.0,0.0,-1.0,0.6536298782921518,0.5524409008119503,0.3463701217078482,ok
16,512.0,1.0,1.0,0.0,-1.0,0.6492656316669159,0.5354874804797315,0.3507343683330842,ok
17,128.0,1.0,1.0,0.0,-1.0,0.6528745278934946,0.5630158064214978,0.3471254721065054,ok
18,128.0,1.0,1.0,0.0,-1.0,0.6551405790869649,0.5524968527200123,0.3448594209130352,ok
19,512.0,1.0,1.0,0.0,-1.0,0.6572387746638026,0.5416701636475806,0.3427612253361973,ok
