,chron1_train,chron1_test,chron5_train,chron5_test,chron10_train,chron10_test,shuffle1_train,shuffle1_test,shuffle5_train,shuffle5_test,shuffle10_train,shuffle10_test,max_test,max_test_idx
0,0.6181844250542788,0.4652230971128609,0.8499173987724692,0.40223097112860895,0.6443673802438322,0.3864829396325459,0.8380439888087896,0.5518372703412073,0.8371390158644797,0.5695538057742782,0.8591447042419074,0.5531496062992126,0.5695538057742782,shuffle5_test
1,0.7941047879533507,0.5065963060686016,0.6434028606776203,0.35817941952506605,0.7385730410503178,0.3654353562005277,0.8215480704885122,0.5883905013192612,0.836839969241285,0.5910290237467019,0.8517793797917382,0.5910290237467019,0.5910290237467019,shuffle5_test
2,0.775965994568016,0.5780535597648596,0.6166011734941056,0.4363161332462443,0.6580152312346246,0.4056172436316133,0.8140923647056454,0.6224689745264533,0.8441563951884932,0.6159372958850424,0.8526406709929649,0.6165904637491836,0.6224689745264533,shuffle1_test
3,0.6855738855738855,0.526867627785059,0.6651566306252404,0.4698558322411534,0.6315427238261884,0.4868938401048493,0.8304360872174434,0.54521625163827,0.8410838829305295,0.5432503276539974,0.848752680889491,0.5432503276539974,0.54521625163827,shuffle1_test
4,0.6291374896656141,0.4360313315926893,0.718300598141942,0.4634464751958224,0.7896806578840838,0.4595300261096606,0.8302449202642953,0.4869451697127937,0.8404169588378737,0.4986945169712794,0.8513102860538916,0.4973890339425587,0.4986945169712794,shuffle5_test
5,0.830513338082799,0.4015645371577575,0.8309307443638316,0.4810951760104302,0.8151291343639616,0.4967405475880052,0.8324499323877489,0.484354628422425,0.8330786105652767,0.4941329856584094,0.8446714417796393,0.4869621903520209,0.4967405475880052,chron10_test
6,0.8337166558550058,0.5154639175257731,0.7609502598366741,0.5038659793814433,0.8128270464576602,0.5354381443298969,0.8278374270726088,0.5850515463917526,0.8274754443767365,0.5876288659793815,0.8498218356461501,0.5850515463917526,0.5876288659793815,shuffle5_test
7,0.7156037647426384,0.5493867010974822,0.6485810116198171,0.4964493221433183,0.8409739695578097,0.5203357004519045,0.8207857727219603,0.5803744351194319,0.839387753008402,0.5758553905745643,0.8461513096428847,0.5810200129115558,0.5810200129115558,shuffle10_test
8,0.822178897747774,0.5488431876606684,0.6014708005858448,0.4530848329048843,0.852380632446475,0.5057840616966581,0.8185275503686931,0.5861182519280206,0.8351986626709885,0.5803341902313625,0.8465587663543237,0.5751928020565553,0.5861182519280206,shuffle1_test
9,0.8152784603968506,0.5289203084832905,0.6712704918032787,0.4813624678663239,0.8253142609449502,0.5070694087403599,0.8240774570697844,0.5526992287917738,0.8348896090743366,0.5559125964010283,0.8463491650118818,0.5629820051413882,0.5629820051413882,shuffle10_test
10,0.6841147803107915,0.5155951623169955,0.8317591499409681,0.4684914067472947,0.8068040122264767,0.4831317632081477,0.7724840934711581,0.5499681731381286,0.8345442469861332,0.5506047103755569,0.8445481891988054,0.539147040101846,0.5506047103755569,shuffle5_test
11,0.7421061143721519,0.4830019243104554,0.7877654196157735,0.4708146247594612,0.6535650496926398,0.4567030147530468,0.8089511153298529,0.5157152020525978,0.8225483922572389,0.5323925593329057,0.8435531559326391,0.5150737652341244,0.5323925593329057,shuffle5_test
12,0.7392504632605983,0.4894433781190019,0.7888587502511553,0.4785668586052464,0.7002666956947695,0.4574536148432501,0.7415392163337705,0.527191298784389,0.8334857188288843,0.5431861804222649,0.8449219498690291,0.5367882277671145,0.5431861804222649,shuffle5_test
13,0.7859096420079136,0.5114942528735632,0.7481953333266771,0.4693486590038314,0.6832280671396436,0.4770114942528736,0.7443064570592428,0.5280970625798213,0.8230975951943407,0.5370370370370371,0.8317172315965533,0.5421455938697318,0.5421455938697318,shuffle10_test
