,0
0,0.04585854536169496
1,0.08627986209462382
2,0.11396802897422845
3,0.13569511268151144
4,0.15618655308916488
5,0.17388052721842467
6,0.18999449908190238
7,0.20494127489666528
8,0.2187840775304804
9,0.23179371994863657
10,0.24434881329574337
11,0.25656756209581744
12,0.26760520300991597
13,0.2779854567903958
14,0.28807029634103315
15,0.29777898846303624
16,0.3069010428899123
17,0.31596120420300805
18,0.32453018539382117
19,0.33230679065796703
20,0.33974314042991927
21,0.34669153983175655
22,0.35303201690877994
23,0.3593147031222819
24,0.36530696127549145
25,0.3711918475048759
26,0.37680951518373557
27,0.3821073607127971
28,0.3873149118671626
29,0.39237275311762687
30,0.39737876985781
31,0.4022240874603019
32,0.4069396977588924
33,0.4116442817047932
34,0.4163199757255833
35,0.4208367580264643
36,0.42533118088116917
37,0.42978020283472856
38,0.43408621504971967
39,0.4383037978087961
40,0.44244810582050603
41,0.44650538755228725
42,0.4504857140550389
43,0.4543527108466251
44,0.4581158428385511
45,0.4618448527721188
46,0.4654872169964539
47,0.4689706315661803
48,0.4723677344967708
49,0.47576229233533673
50,0.479046743484555
51,0.48224802912730586
52,0.48543199105328017
53,0.48845780607183775
54,0.4913448608539845
55,0.49417633824193763
56,0.49690456655527443
57,0.49948549687738586
58,0.5020011207785511
59,0.5044953531802305
60,0.5069247388642592
61,0.5092723705797563
62,0.5115991396381122
63,0.5138965953711616
64,0.5161880510992211
65,0.5184455475210206
66,0.5206045948314056
67,0.5227196007713316
68,0.5247876286647779
69,0.5267614483830674
70,0.5286964541732954
71,0.5306074538250637
72,0.5325079433215872
73,0.5343498275822476
74,0.5361726669920985
75,0.5379738416094664
76,0.539764051263094
77,0.541550527408059
78,0.5433201474935927
79,0.545025881873866
80,0.5467233794275468
81,0.5483849874921869
82,0.5500410276199077
83,0.5516859196367901
84,0.553318275255198
85,0.5549373228303143
86,0.5565440792568285
87,0.558111852782708
88,0.5596501693005075
89,0.5611751712486152
90,0.5626897970366267
91,0.5641826457576813
92,0.5656531936681841
93,0.5671181004237185
94,0.568562403946509
95,0.5699991994580248
96,0.5714289827607107
97,0.5728445431004141
98,0.5742492992909506
99,0.5756506982605707
100,0.5770416699806202
101,0.5784276032179452
102,0.5797959871697959
103,0.5811612277423029
104,0.582518783070987
105,0.5838634883260998
106,0.5851906139071885
107,0.5865153331842263
108,0.5878338218908015
109,0.5891459216597406
110,0.590435515750355
111,0.5917166499950541
112,0.5929747031165093
113,0.594231518465427
114,0.5954832670845454
115,0.5967241198789728
116,0.5979576663686733
117,0.599185406299957
118,0.6003950085500223
119,0.601600771543351
120,0.6028022346588727
121,0.6039882603911491
122,0.6051709568436587
123,0.606345197937153
124,0.6075133693767331
125,0.6086748686941049
126,0.6098330591267099
127,0.6109737045567906
128,0.6121095156580946
129,0.6132368571238834
130,0.6143574878189394
131,0.6154734365358673
132,0.616579610235318
133,0.6176798859047778
134,0.6187725833021885
135,0.6198485318158918
136,0.6209239836093752
137,0.6219928512850744
138,0.6230600216888906
139,0.6241169374868095
140,0.6251657338313596
141,0.6262089906900152
142,0.6272473570316698
143,0.6282748069496836
144,0.6292885711090095
145,0.6302984371720244
146,0.6313050727690466
147,0.6323071168397648
148,0.6333014223337355
149,0.6342944232615443
150,0.6352849702629776
151,0.6362701881529392
152,0.6372503089245519
153,0.6382297345325966
154,0.6392027780353301
155,0.6401648536170484
156,0.641123017233856
157,0.6420784242624911
158,0.643030546064559
159,0.6439811440542172
160,0.6449270850496222
161,0.6458700878393815
162,0.6468111876736848
163,0.647745914172527
164,0.6486781762415689
165,0.6496023785126164
166,0.6505229536349252
167,0.6514372180344222
168,0.6523489318352448
169,0.6532581218568175
170,0.6541645177634183
171,0.6550676866711764
172,0.6559636505353816
173,0.6568587740236203
174,0.6577493291338796
175,0.6586375549312123
176,0.659520887866119
177,0.6604006429062115
178,0.6612768412622896
179,0.662149704016151
180,0.6630190772875224
181,0.6638804847818486
182,0.6647399106979945
183,0.665597792610681
184,0.6664485654892761
185,0.667297662918638
186,0.6681431467109485
187,0.6689815018389805
188,0.6698194629866039
189,0.6706509500984545
190,0.6714812009673926
191,0.6723073772212965
192,0.673129246408156
193,0.6739506639477449
194,0.6747619643437353
195,0.6755672361307484
196,0.6763694244487299
197,0.6771691040797616
198,0.6779659681300839
199,0.6787591658222805
200,0.6795487269330509
201,0.680336229066617
202,0.6811210589453348
203,0.6819038789478102
204,0.6826817821237349
205,0.6834579592708268
206,0.6842306959854031
207,0.684998935143637
208,0.6857645736334719
209,0.6865270675712508
210,0.6872893229895072
211,0.688050080344041
212,0.6888030244761281
213,0.6895528022844968
214,0.6903011952723793
215,0.691047623253019
216,0.6917912850598366
217,0.692532160195857
218,0.6932724585612831
219,0.6940087753128741
220,0.6947411973843166
221,0.6954719055109637
222,0.6961989451889976
223,0.696921336438678
224,0.6976362489948958
225,0.6983491589150962
226,0.6990594883579474
227,0.6997671821039875
228,0.7004719673700941
229,0.7011745545650978
230,0.7018733564481394
231,0.7025690284125373
232,0.7032638403707814
233,0.7039567259703071
234,0.7046492607248489
235,0.7053387159873841
236,0.7060238833031871
237,0.7067087287349059
238,0.7073908342003771
239,0.7080726173228765
240,0.7087532317609002
241,0.7094292182675452
242,0.7101034802749825
243,0.7107727105300451
244,0.711440465359835
245,0.7121044289631128
246,0.712768056150869
247,0.7134303829024508
248,0.7140896857893878
249,0.7147478749053859
250,0.7154043278970265
251,0.7160561529572883
252,0.7167048758361062
253,0.7173531296809164
254,0.7179991001015493
255,0.7186414169619189
256,0.7192807078161687
