,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
0,0.6,5.0,gbdt,0.4,0.0,1.0,1.0,255.0,multi_error,250.0,0.4,100.0,6.0,400.0,12.0,multiclass,0.66,-0.30719302925224506,0.9874730789749264,0.30446637621884354,0.30719302925224506,0.30719302925224506,0.30719302925224506,0.30719302925224506,ok
1,0.8,2.0,gbdt,0.4,0.4,5.0,1.0,255.0,multi_error,500.0,0.2,100.0,6.0,400.0,12.0,multiclass,0.75,-0.3153433508194778,0.9981525755270594,0.3169141400669808,0.3153433508194778,0.3153433508194778,0.3153433508194778,0.3153433508194778,ok
2,0.6,5.0,gbdt,0.4,0.4,0.5,1.0,200.0,multi_error,750.0,0.2,100.0,6.0,400.0,12.0,multiclass,0.66,-0.3115793841320649,0.692151903736342,0.315076613022732,0.3115793841320649,0.3115793841320649,0.3115793841320649,0.3115793841320649,ok
3,0.4,8.0,gbdt,0.6,0.4,0.5,0.5,200.0,multi_error,500.0,0.4,100.0,6.0,200.0,12.0,multiclass,0.7,-0.32752437687086927,0.5516488510402877,0.32387896031534336,0.32752437687086927,0.32752437687086927,0.32752437687086927,0.32752437687086927,ok
4,0.4,5.0,gbdt,0.6,0.0,1.0,1.0,255.0,multi_error,750.0,0.4,100.0,6.0,400.0,12.0,multiclass,0.66,-0.30233247384487716,0.44487364406947105,0.3098307696867313,0.30233247384487716,0.30233247384487716,0.30233247384487716,0.30233247384487716,ok
5,0.8,2.0,gbdt,0.8,0.0,0.5,0.05,255.0,multi_error,750.0,0.4,100.0,6.0,200.0,12.0,multiclass,0.75,-0.3538721436827598,0.5147398786824998,0.35410924394653387,0.3538721436827598,0.3538721436827598,0.3538721436827598,0.3538721436827598,ok
6,0.4,2.0,gbdt,0.8,1.0,1.0,0.01,200.0,multi_error,750.0,0.05,100.0,6.0,400.0,12.0,multiclass,0.75,-0.30757831718087786,0.34796783307976525,0.30864526836786105,0.30757831718087786,0.30757831718087786,0.30757831718087786,0.30757831718087786,ok
7,0.4,8.0,gbdt,0.6,0.0,1.0,0.1,255.0,multi_error,750.0,0.4,100.0,6.0,400.0,12.0,multiclass,0.66,-0.3428469814172668,0.45842800972120684,0.34584037224741415,0.3428469814172668,0.3428469814172668,0.3428469814172668,0.3428469814172668,ok
8,0.4,2.0,gbdt,0.8,1.0,1.0,0.1,255.0,multi_error,500.0,0.2,100.0,6.0,300.0,12.0,multiclass,0.7,-0.35825849856257963,0.526367785659244,0.35262736729794614,0.35825849856257963,0.35825849856257963,0.35825849856257963,0.35825849856257963,ok
9,0.8,2.0,gbdt,0.4,1.0,5.0,0.1,255.0,multi_error,750.0,0.05,100.0,6.0,400.0,12.0,multiclass,0.75,-0.36012566313980027,0.5988619074904665,0.3593847248155064,0.36012566313980027,0.36012566313980027,0.36012566313980027,0.36012566313980027,ok
10,0.6,5.0,gbdt,0.6,0.0,5.0,0.5,300.0,multi_error,750.0,0.2,100.0,6.0,200.0,12.0,multiclass,0.75,-0.34089090424113094,0.7792278358459623,0.3378086008120684,0.34089090424113094,0.34089090424113094,0.34089090424113094,0.34089090424113094,ok
11,0.6,8.0,gbdt,0.8,0.4,0.0,1.0,200.0,multi_error,750.0,0.05,100.0,6.0,400.0,12.0,multiclass,0.75,-0.3061853531312054,0.5975282053308569,0.31389111170386175,0.3061853531312054,0.3061853531312054,0.3061853531312054,0.3061853531312054,ok
12,0.6,5.0,gbdt,0.8,0.4,0.5,1.0,255.0,multi_error,500.0,0.05,100.0,6.0,400.0,12.0,multiclass,0.7,-0.30991968228564654,0.9517101025468772,0.31282416051687856,0.30991968228564654,0.30991968228564654,0.30991968228564654,0.30991968228564654,ok
13,0.4,2.0,gbdt,0.4,1.0,5.0,0.01,255.0,multi_error,750.0,0.05,100.0,6.0,400.0,12.0,multiclass,0.7,-0.3216561453424617,0.3667285767916066,0.319196230105806,0.3216561453424617,0.3216561453424617,0.3216561453424617,0.3216561453424617,ok
14,0.8,5.0,gbdt,0.4,0.4,0.0,1.0,300.0,multi_error,250.0,0.2,100.0,6.0,300.0,12.0,multiclass,0.75,-0.3181292789188228,0.9975104226353955,0.31569900121513883,0.3181292789188228,0.3181292789188228,0.3181292789188228,0.3181292789188228,ok
15,0.8,5.0,gbdt,0.8,1.0,0.0,0.01,200.0,multi_error,750.0,0.05,100.0,6.0,300.0,12.0,multiclass,0.66,-0.3219525206721792,0.38854201655766535,0.32144868261165943,0.3219525206721792,0.3219525206721792,0.3219525206721792,0.3219525206721792,ok
16,0.4,8.0,gbdt,0.4,0.0,5.0,1.0,200.0,multi_error,500.0,0.4,100.0,6.0,300.0,12.0,multiclass,0.75,-0.29270027562905665,0.5408014068087965,0.29613822945378027,0.29270027562905665,0.29270027562905665,0.29270027562905665,0.29270027562905665,ok
17,0.8,5.0,gbdt,0.6,0.0,0.5,0.01,255.0,multi_error,500.0,0.05,100.0,6.0,300.0,12.0,multiclass,0.66,-0.3306955928988471,0.44358933828614333,0.3377196882131531,0.3306955928988471,0.3306955928988471,0.3306955928988471,0.3306955928988471,ok
18,0.6,5.0,gbdt,0.6,1.0,1.0,0.05,200.0,multi_error,500.0,0.05,100.0,6.0,400.0,12.0,multiclass,0.75,-0.3515900536439347,0.52782003912193,0.3503156397261492,0.3515900536439347,0.3515900536439347,0.3515900536439347,0.3515900536439347,ok
