feature_name,importance,
lcoq_yoy_lag17,419,0.000764052
capxy_q_yoy_lag07,418,0.000762228
cheq_qoq_lag16,418,0.000762228
rectq_yoy_lag19,418,0.000762228
revtq_yoy_lag19,418,0.000762228
xintq_qoq_lag01,417,0.000760405
xoprq_yoy_lag03,417,0.000760405
apq_yoy_lag06,417,0.000760405
lcoq_qoq_lag01,416,0.000758581
cheq_qoq_lag13,416,0.000758581
revtq_qoq_lag16,416,0.000758581
ancq_yoy,415,0.000756758
invtq_yoy,414,0.000754934
req_yoy,414,0.000754934
oibdpq_yoy_lag03,414,0.000754934
lcoq_yoy_lag09,414,0.000754934
oibdpq_yoy_lag09,412,0.000751287
revtq_qoq_lag13,412,0.000751287
xoprq_yoy,411,0.000749464
lcoq_yoy_lag04,411,0.000749464
oibdpq_yoy_lag04,411,0.000749464
ltq_qoq,410,0.00074764
aoq_yoy_lag14,410,0.00074764
apq_yoy_lag08,409,0.000745817
revtq_yoy_lag10,409,0.000745817
apq_qoq_lag07,408,0.000743993
apq_yoy_lag10,408,0.000743993
nopiq_yoy,407,0.00074217
lctq_qoq_lag03,407,0.00074217
xoprq_qoq_lag13,407,0.00074217
cheq_qoq_lag03,406,0.000740346
ltq_qoq_lag03,406,0.000740346
ltq_yoy_lag10,406,0.000740346
revtq_qoq_lag19,406,0.000740346
dpq_qoq,404,0.000736699
capxy_q_yoy_lag17,404,0.000736699
capxy_q_revtq,403,0.000734876
acoq_qoq_lag11,403,0.000734876
oibdpq_yoy_lag11,403,0.000734876
rectq_qoq_lag02,402,0.000733052
lcoq_qoq_lag19,402,0.000733052
xsgaq_yoy_lag04,401,0.000731229
lltq_yoy_lag12,401,0.000731229
lcoq_qoq_lag17,401,0.000731229
apq_qoq_lag14,400,0.000729405
dpactq_yoy_lag19,400,0.000729405
lcoq_qoq_lag02,399,0.000727582
txtq_yoy_lag08,399,0.000727582
niq_yoy_lag04,398,0.000725758
capxy_q_yoy_lag11,397,0.000723935
aoq_yoy_lag12,397,0.000723935
oibdpq_yoy_lag13,397,0.000723935
rectq_qoq_lag04,396,0.000722111
xoprq_yoy_lag05,396,0.000722111
lcoq_yoy_lag19,396,0.000722111
acoq_yoy_lag04,395,0.000720288
oibdpq_yoy_lag05,395,0.000720288
apq_qoq_lag03,394,0.000718464
aoq_yoy_lag13,394,0.000718464
lctq_qoq,393,0.000716641
xsgaq_yoy_lag05,393,0.000716641
niq_yoy_lag09,393,0.000716641
revtq_yoy_lag03,391,0.000712994
apq_yoy_lag05,391,0.000712994
apq_qoq_lag06,391,0.000712994
acoq_yoy_lag08,391,0.000712994
xintq_yoy_lag08,390,0.00071117
revtq_qoq_lag15,390,0.00071117
cheq_atq_lag19,390,0.00071117
nopiq_revtq,389,0.000709347
cogsq_yoy_lag04,389,0.000709347
seqq_yoy_lag06,389,0.000709347
cheq_yoy_lag18,389,0.000709347
xintq_yoy,388,0.000707523
rectq_qoq_lag07,388,0.000707523
cheq_qoq_lag18,388,0.000707523
seqq_yoy_lag01,387,0.0007057
dpq_revtq_lag01,387,0.0007057
rectq_qoq_lag06,387,0.0007057
dlcq_yoy_lag07,387,0.0007057
aoq_yoy_lag16,387,0.0007057
lctq_yoy_lag19,387,0.0007057
lltq_yoy,386,0.000703876
loq_yoy_lag01,386,0.000703876
aoq_yoy_lag03,386,0.000703876
rectq_yoy_lag06,386,0.000703876
ltq_yoy_lag11,386,0.000703876
dpactq_yoy_lag18,386,0.000703876
ltq_qoq_lag05,384,0.000700229
cheq_qoq_lag08,384,0.000700229
apq_qoq_lag17,384,0.000700229
niq_yoy_lag18,384,0.000700229
nopiq_revtq_lag18,384,0.000700229
acoq_qoq_lag01,383,0.000698406
xoprq_revtq_lag01,383,0.000698406
acoq_qoq_lag02,383,0.000698406
ltq_qoq_lag11,383,0.000698406
acoq_yoy_lag01,382,0.000696582
revtq_yoy_lag06,382,0.000696582
xsgaq_yoy_lag18,382,0.000696582
lcoq_yoy_lag03,381,0.000694758
apq_yoy_lag04,381,0.000694758
xsgaq_qoq_lag05,381,0.000694758
apq_qoq_lag19,381,0.000694758
atq_qoq,380,0.000692935
dlttq_yoy,380,0.000692935
xsgaq_qoq_lag02,380,0.000692935
cogsq_yoy_lag07,380,0.000692935
ppentq_yoy_lag11,380,0.000692935
oibdpq_yoy_lag17,380,0.000692935
oibdpq_yoy_lag06,379,0.000691111
cheq_yoy_lag14,379,0.000691111
ltq_yoy_lag19,378,0.000689288
revtq_qoq_lag06,377,0.000687464
dpq_qoq_lag12,377,0.000687464
capxy_q_yoy_lag13,376,0.000685641
rectq_yoy_lag14,376,0.000685641
apq_qoq_lag02,375,0.000683817
cheq_yoy_lag09,375,0.000683817
xsgaq_qoq_lag01,374,0.000681994
apq_yoy_lag07,374,0.000681994
loq_yoy_lag16,374,0.000681994
xsgaq_yoy_lag17,374,0.000681994
rectq_qoq_lag19,374,0.000681994
dlcq_atq_lag07,373,0.00068017
ltq_qoq_lag09,373,0.00068017
dpq_qoq_lag15,373,0.00068017
apq_yoy_lag15,373,0.00068017
loq_yoy_lag19,373,0.00068017
ltq_qoq_lag10,372,0.000678347
xsgaq_qoq_lag16,372,0.000678347
wcapq_yoy_lag18,372,0.000678347
lctq_qoq_lag01,371,0.000676523
atq_yoy_lag19,371,0.000676523
loq_yoy_lag03,370,0.0006747
dpq_qoq_lag17,369,0.000672876
aoq_yoy_lag02,368,0.000671053
xsgaq_yoy_lag03,368,0.000671053
revtq_yoy_lag04,368,0.000671053
acoq_qoq_lag08,368,0.000671053
dpactq_yoy_lag11,368,0.000671053
revtq_qoq_lag12,368,0.000671053
xsgaq_yoy_lag13,368,0.000671053
capxy_q_qoq_lag03,367,0.000669229
xsgaq_qoq_lag04,367,0.000669229
aoq_yoy_lag09,367,0.000669229
ltq_qoq_lag12,367,0.000669229
apq_yoy_lag16,367,0.000669229
niq_yoy_lag16,367,0.000669229
wcapq_qoq,366,0.000667406
xsgaq_yoy_lag09,366,0.000667406
revtq_yoy_lag11,366,0.000667406
oancfy_q_qoq_lag01,365,0.000665582
lcoq_yoy_lag02,365,0.000665582
loq_yoy_lag08,365,0.000665582
lcoq_qoq_lag18,365,0.000665582
apq_yoy_lag01,364,0.000663759
niq_yoy_lag06,364,0.000663759
nopiq_qoq,363,0.000661935
apq_yoy_lag13,363,0.000661935
txtq_yoy_lag19,363,0.000661935
revtq_qoq_lag03,362,0.000660112
dlcq_yoy_lag04,362,0.000660112
