,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_boost_round,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
26,0.6,8,gbdt,0.5,6,350,0.75,255,multi_error,1100,0.66,1000,3,95,12,multiclass,0.7,-0.459648499,0.800349726,0.464153404,0.459648499,0.459648499,0.459648499,0.459648499,ok
8,0.5,8,gbdt,0.4,16,430,0.9,127,multi_error,1250,0.64,1000,3,185,12,multiclass,0.73,-0.457692422,0.590434886,0.463590291,0.457692422,0.457692422,0.457692422,0.457692422,ok
46,0.5,8,gbdt,0.4,6,350,0.75,255,multi_error,650,0.58,1000,3,140,12,multiclass,0.69,-0.457514596,0.805724052,0.460922913,0.457514596,0.457514596,0.457514596,0.457514596,ok
10,0.7,2,gbdt,0.5,1,420,0.95,127,multi_error,950,0.64,1000,3,110,12,multiclass,0.68,-0.456536558,0.797504495,0.462612252,0.456536558,0.456536558,0.456536558,0.456536558,ok
47,0.4,2,gbdt,0.6,1,350,0.8,127,multi_error,800,0.68,1000,3,50,12,multiclass,0.72,-0.45603272,0.697368161,0.459500311,0.45603272,0.45603272,0.45603272,0.45603272,ok
16,0.6,4,gbdt,0.3,16,390,0.8,127,multi_error,650,0.56,1000,3,125,12,multiclass,0.69,-0.455439969,0.665714963,0.466287306,0.455439969,0.455439969,0.455439969,0.455439969,ok
44,0.5,8,gbdt,0.7,1,430,0.95,255,multi_error,950,0.7,1000,3,80,12,multiclass,0.73,-0.455410332,0.686362648,0.456595833,0.455410332,0.455410332,0.455410332,0.455410332,ok
13,0.5,8,gbdt,0.6,1,430,0.9,127,multi_error,800,0.56,1000,3,185,12,multiclass,0.67,-0.455173231,0.872389402,0.455054681,0.455173231,0.455173231,0.455173231,0.455173231,ok
0,0.4,4,gbdt,0.3,16,400,0.7,127,multi_error,1250,0.7,1000,3,80,12,multiclass,0.69,-0.45410628,0.574904665,0.464331229,0.45410628,0.45410628,0.45410628,0.45410628,ok
12,0.5,4,gbdt,0.4,1,420,0.95,255,multi_error,650,0.68,1000,3,125,12,multiclass,0.73,-0.45206129,0.681946612,0.461960226,0.45206129,0.45206129,0.45206129,0.45206129,ok
19,0.4,8,gbdt,0.7,16,440,0.8,255,multi_error,950,0.52,1000,3,185,12,multiclass,0.67,-0.451498177,0.568848669,0.453543167,0.451498177,0.451498177,0.451498177,0.451498177,ok
4,0.5,4,gbdt,0.6,1,400,0.85,255,multi_error,650,0.56,1000,3,170,12,multiclass,0.66,-0.45134999,0.700865425,0.457840609,0.45134999,0.45134999,0.45134999,0.45134999,ok
3,0.4,2,gbdt,0.4,1,360,0.85,127,multi_error,950,0.52,1000,3,110,12,multiclass,0.68,-0.451320352,0.748809547,0.450431226,0.451320352,0.451320352,0.451320352,0.451320352,ok
14,0.4,2,gbdt,0.3,11,370,0.9,127,multi_error,500,0.5,1000,3,140,12,multiclass,0.71,-0.450757239,0.581306435,0.456447645,0.450757239,0.450757239,0.450757239,0.450757239,ok
34,0.4,2,gbdt,0.6,6,360,0.75,255,multi_error,1100,0.62,1000,3,155,12,multiclass,0.71,-0.448178774,0.549426014,0.457218221,0.448178774,0.448178774,0.448178774,0.448178774,ok
7,0.4,4,gbdt,0.7,1,440,0.95,127,multi_error,1100,0.58,1000,3,50,12,multiclass,0.68,-0.445570671,0.580278991,0.448771524,0.445570671,0.445570671,0.445570671,0.445570671,ok
42,0.4,4,gbdt,0.6,6,370,0.9,127,multi_error,500,0.62,1000,3,110,12,multiclass,0.68,-0.437538899,0.662020114,0.446845085,0.437538899,0.437538899,0.437538899,0.437538899,ok
