,bagging_fraction,bagging_freq,boosting_type,feature_fraction,lambda_l1,lambda_l2,learning_rate,max_bin,metric,min_data_in_leaf,min_gain_to_split,num_class,num_leaves,num_threads,objective,reduced_dimension,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,status
87,0.4,5.0,dart,0.6,1.0,1.0,0.0001,300.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.49808017201658733,0.572655480039422,0.4947970663902008,0.49808017201658733,0.49808017201658733,0.49808017201658733,0.49808017201658733,ok
88,0.8,2.0,gbdt,0.8,0.4,0.0,1e-05,300.0,multi_error,750.0,0.05,3.0,200.0,2.0,multiclass,709.0,-0.44889417908155427,0.47068310102522753,0.4482586491571632,0.44889417908155427,0.44889417908155427,0.44889417908155427,0.44889417908155427,ok
89,0.8,8.0,gbdt,0.4,0.0,1.0,0.1,200.0,multi_error,250.0,0.4,3.0,400.0,2.0,multiclass,573.0,-0.5875825526032867,0.9990912465281777,0.586990746073801,0.5875825526032867,0.5875825526032867,0.5875825526032867,0.5875825526032867,ok
90,0.6,2.0,gbdt,0.8,0.0,1.0,0.001,300.0,multi_error,250.0,0.2,3.0,400.0,2.0,multiclass,573.0,-0.5228075564429427,0.6362810224116525,0.5163767615098107,0.5228075564429427,0.5228075564429427,0.5228075564429427,0.5228075564429427,ok
91,0.8,2.0,dart,0.8,0.0,1.0,0.01,255.0,multi_error,500.0,0.05,3.0,400.0,2.0,multiclass,475.0,-0.5330594378743665,0.6581679018034277,0.5235187958376532,0.5330594378743665,0.5330594378743665,0.5330594378743665,0.5330594378743665,ok
92,0.4,8.0,gbdt,0.8,1.0,0.5,0.1,300.0,multi_error,250.0,0.05,3.0,300.0,2.0,multiclass,573.0,-0.5733374289663646,0.9984512792945002,0.5745497830511078,0.5733374289663646,0.5733374289663646,0.5733374289663646,0.5733374289663646,ok
93,0.8,5.0,gbdt,0.6,0.4,1.0,1.0,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,709.0,-0.5190446935954538,0.9997952104852231,0.5214453020005376,0.5190446935954538,0.5190446935954538,0.5190446935954538,0.5190446935954538,ok
94,0.8,2.0,gbdt,0.4,0.0,0.0,0.1,300.0,multi_error,750.0,0.4,3.0,200.0,2.0,multiclass,573.0,-0.5726846874520043,0.9955586273982772,0.5813078370387437,0.5726846874520043,0.5726846874520043,0.5726846874520043,0.5726846874520043,ok
95,0.8,2.0,gbdt,0.8,0.0,1.0,0.0001,200.0,multi_error,250.0,0.2,3.0,400.0,2.0,multiclass,573.0,-0.5109046229457841,0.6330683868985908,0.5142264716046538,0.5109046229457841,0.5109046229457841,0.5109046229457841,0.5109046229457841,ok
96,0.6,8.0,dart,0.8,0.0,1.0,0.1,300.0,multi_error,250.0,0.05,3.0,400.0,2.0,multiclass,475.0,-0.5918061741667947,0.9949570581986202,0.5871443382098837,0.5918061741667947,0.5918061741667947,0.5918061741667947,0.5918061741667947,ok
97,0.8,2.0,gbdt,0.8,0.0,1.0,0.1,255.0,multi_error,500.0,0.05,3.0,400.0,2.0,multiclass,573.0,-0.590961449854093,0.9999744013106528,0.5896018123872058,0.590961449854093,0.590961449854093,0.590961449854093,0.590961449854093,ok
