,chron1_train,chron1_test,chron5_train,chron5_test,chron10_train,chron10_test,shuffle1_train,shuffle1_test,shuffle5_train,shuffle5_test,shuffle10_train,shuffle10_test,max_test,max_test_idx
0,0.9408873049035272,0.4665354330708662,0.9433826023215868,0.3996062992125984,0.8390731496592109,0.3877952755905512,0.9962832111421978,0.5761154855643045,0.9994729766066148,0.5767716535433071,0.9991933346393629,0.5800524934383202,0.5800524934383202,shuffle10_test
1,0.966812742117518,0.5098944591029023,0.8935059579363185,0.3555408970976253,0.7765460702192123,0.35092348284960423,0.9988643968121996,0.6154353562005277,0.9995514354066986,0.6121372031662269,0.9994965098981576,0.604221635883905,0.6154353562005277,shuffle1_test
2,0.9657421523984532,0.5917700849118224,0.8040695483662593,0.4199869366427172,0.8689690078510305,0.4082299150881777,0.9991339550059416,0.6309601567602874,0.9996711712667332,0.6401045068582626,0.9993635568082374,0.6270411495754409,0.6401045068582626,shuffle5_test
3,0.9568971568971568,0.5294888597640891,0.9961002606949017,0.4750982961992136,0.9980752405949256,0.4698558322411534,0.9990798159631926,0.5583224115334207,0.9994626941149204,0.5576671035386632,0.9996274974602101,0.5471821756225426,0.5583224115334207,shuffle1_test
4,0.9371270905342006,0.4510443864229765,0.9886416663131548,0.4673629242819843,0.9990631397541032,0.4654046997389034,0.9991355755377812,0.5300261096605744,0.9995918324629248,0.5319843342036553,0.9996523845299904,0.5365535248041775,0.5365535248041775,shuffle10_test
5,0.9995448428718436,0.42633637548891773,0.9996314509250582,0.4700130378096479,0.959734391485848,0.499348109517601,0.9994669983121612,0.5221642764015645,0.9996049197883202,0.5365058670143416,0.9996323979904423,0.5182529335071708,0.5365058670143416,shuffle5_test
6,0.9933262566098564,0.5064432989690721,0.9977205474868514,0.5128865979381443,0.9961891977976975,0.5135309278350515,0.961376673040153,0.5934278350515464,0.99947325476911,0.5947164948453608,0.9995241573158046,0.5837628865979382,0.5947164948453608,shuffle5_test
7,0.9957236585175351,0.5551969012265978,0.699701976095783,0.4816010329244674,0.8970742550238641,0.5125887669464171,0.9931726985858428,0.5842479018721756,0.9995999056187612,0.5952227243382827,0.9995713296475012,0.5958683021304068,0.5958683021304068,shuffle10_test
8,0.9993113348464568,0.5404884318766067,0.6400251665738391,0.4440874035989717,0.9995296963181941,0.5089974293059126,0.97207222899611,0.5809768637532133,0.9988481846166392,0.5874035989717223,0.9995303933774544,0.5989717223650386,0.5989717223650386,shuffle10_test
9,0.9921169543303748,0.5327763496143959,0.9827254098360656,0.4762210796915167,0.990597179153746,0.4942159383033419,0.9980385746976136,0.5938303341902313,0.9968401863479848,0.5751928020565553,0.9996853196176092,0.5751928020565553,0.5938303341902313,shuffle1_test
10,0.9899658186762156,0.5175047740292807,0.9995318161462362,0.4653087205601528,0.9305584674972136,0.5015913430935711,0.9982230544356764,0.5582431572246976,0.9996477951979392,0.5677912157861235,0.9995471649290021,0.5709739019732655,0.5709739019732655,shuffle10_test
11,0.9464671353686032,0.490699166132136,0.9996359959555108,0.4592687620269403,0.9010749389114736,0.44579858883899937,0.9525391551969624,0.5221295702373316,0.9995700687889938,0.5381654906991661,0.9994643698847324,0.5407312379730597,0.5407312379730597,shuffle10_test
12,0.8832299663426993,0.5041586692258477,0.9793349407273458,0.4657709532949456,0.7892015457464758,0.4580934101087652,0.9791676494730586,0.5521433141394754,0.999304327085528,0.5713371721049264,0.9995208382136848,0.5495841330774153,0.5713371721049264,shuffle5_test
13,0.9995582665250612,0.5146871008939975,0.9044799664526691,0.4655172413793103,0.7338748053296418,0.4636015325670498,0.9976925674408136,0.5644955300127714,0.9995455174185388,0.5817369093231162,0.9995977388690109,0.5779054916985952,0.5817369093231162,shuffle5_test
14,0.9915990730011588,0.5154185022026432,0.9968837767831448,0.4719949653870359,0.8762145313843508,0.4713656387665198,0.9987036000746128,0.5494021397105098,0.9994891493354028,0.5519194461925739,0.9995263407189096,0.5449968533668974,0.5519194461925739,shuffle5_test
15,0.999312344348214,0.5031486146095718,0.9150000493325308,0.4628463476070529,0.8835758391556097,0.4634760705289673,0.996921222237678,0.535264483627204,0.9996288156288156,0.5390428211586902,0.9996023024594454,0.5459697732997482,0.5459697732997482,shuffle10_test
16,0.9982993826019446,0.525062656641604,0.9833397109469284,0.4880952380952381,0.8123545971211558,0.4906015037593985,0.9555487911743272,0.5551378446115288,0.9978138784710752,0.5595238095238095,0.9995523677663152,0.5651629072681704,0.5651629072681704,shuffle10_test
17,0.9892510689163716,0.5150564617314931,0.9946998018526292,0.4874529485570891,0.8094297365251748,0.4868255959849435,0.9671563994090172,0.5583437892095358,0.9995166934096312,0.5708908406524467,0.9992957527677953,0.5708908406524467,0.5708908406524467,shuffle5_test
18,0.9989662522527468,0.5219849246231156,0.9955230548110166,0.4849246231155779,0.7981443147309466,0.47864321608040206,0.9908782118007998,0.5873115577889447,0.9995671953295568,0.5766331658291457,0.9996805473974918,0.5753768844221105,0.5873115577889447,shuffle1_test
19,0.9908972573436376,0.5009511731135067,0.9717363996521404,0.4800253646163602,0.8107029004442122,0.4749524413443247,0.9995002498750624,0.5586556753329106,0.99907161930649,0.5510462904248573,0.9989027554170042,0.5497780596068484,0.5586556753329106,shuffle1_test
20,0.9799320498301246,0.5390524967989757,0.9833277246286236,0.5089628681177977,0.9634763979741464,0.5019206145966709,0.9985888993414864,0.5678617157490397,0.9995521890333952,0.58898847631242,0.9996835378427488,0.586427656850192,0.58898847631242,shuffle5_test
21,0.9989537767756482,0.5409941897998709,0.8645183512572238,0.4990316333118141,0.9807968877714665,0.5016139444803098,0.9768533112374022,0.5642349903163331,0.9996205257615574,0.6003873466752744,0.9995425992559616,0.5765009683666882,0.6003873466752744,shuffle5_test
22,0.9987158187777828,0.536381197681906,0.8342283157193183,0.5054732775273664,0.9924635532493205,0.4990341274951706,0.99958741434363,0.5782356728911784,0.9996220960442904,0.5717965228589826,0.9996254719559474,0.5556986477784932,0.5782356728911784,shuffle1_test
23,0.9981040789132436,0.501628664495114,0.9991188091605948,0.4833876221498372,0.9171157510808762,0.4742671009771987,0.9990710470371759,0.545928338762215,0.9994731196959148,0.5557003257328991,0.9995866935483873,0.5374592833876222,0.5557003257328991,shuffle5_test
24,0.973458027165442,0.5125,0.9963879510345738,0.5059210526315789,0.9285240887076216,0.4947368421052632,0.9716070364010072,0.5460526315789473,0.9996719652095674,0.5697368421052632,0.9995681993914624,0.5664473684210526,0.5697368421052632,shuffle5_test
