,Unnamed: 0,loss,accuracy_score_train,accuracy_score_valid,accuracy_score_test,precision_score_test,recall_score_test,f1_score_test,f0.5_score_test,f2_score_test,r2_score_test,cohen_kappa_score,hamming_loss,jaccard_score
count,chron1,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron1,-0.5053059692968433,0.9825776385317203,0.5656697310784665,0.5053059692968433,0.5053059692968433,0.5053059692968433,0.5053059692968433,0.5053059692968433,0.5053059692968433,-0.61251440979624,0.23689479359222113,0.4946940307031567,0.3231952418066024
std,chron1,0.03233913598163057,0.024273245431975912,0.027958794018612204,0.03233913598163057,0.03233913598163057,0.03233913598163057,0.03233913598163057,0.03233913598163057,0.03233913598163057,0.13276338733494306,0.05054365483691026,0.03233913598163056,0.034101992149683576
min,chron1,-0.5917700849118224,0.8832299663426993,0.4956051386071671,0.42633637548891773,0.42633637548891773,0.42633637548891773,0.42633637548891773,0.42633637548891773,0.42633637548891773,-1.131015843647615,0.087585068940365,0.4082299150881777,0.2044517903655812
25%,chron1,-0.5227543576277377,0.9783135441639539,0.545571067553186,0.4902614810960879,0.4902614810960879,0.4902614810960879,0.4902614810960879,0.4902614810960879,0.4902614810960879,-0.6598275912504459,0.21938279224472296,0.4772456423722623,0.3133446505203538
50%,chron1,-0.5108474318441012,0.9917368051745108,0.5656708070288914,0.5108474318441012,0.5108474318441012,0.5108474318441012,0.5108474318441012,0.5108474318441012,0.5108474318441012,-0.5805926422229476,0.2535451305048082,0.4891525681558988,0.3323024555776007
75%,chron1,-0.4902614810960879,0.9983930686796014,0.5844178281021698,0.5227543576277377,0.5227543576277377,0.5227543576277377,0.5227543576277377,0.5227543576277377,0.5227543576277377,-0.5208142231446262,0.26679944692056634,0.5097385189039121,0.34328364298617337
max,chron1,-0.42633637548891773,0.9995582665250612,0.6322664924885696,0.5917700849118224,0.5917700849118224,0.5917700849118224,0.5917700849118224,0.5917700849118224,0.5917700849118224,-0.45494224480872497,0.3064764356430656,0.5736636245110821,0.3674317110770852
count,chron5,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron5,-0.4688628288569374,0.946150823656452,0.500179169149632,0.4688628288569374,0.4688628288569374,0.4688628288569374,0.4688628288569374,0.4688628288569374,0.4688628288569374,-0.7028404023094803,0.20404222013672274,0.5311371711430626,0.30370063793371316
std,chron5,0.03114935405704438,0.08206629391306741,0.018108168800200504,0.03114935405704438,0.03114935405704438,0.03114935405704438,0.03114935405704438,0.031149354057044377,0.031149354057044377,0.19196463284981868,0.035677352021673846,0.031149354057044384,0.025059186638427818
min,chron5,-0.5128865979381443,0.6400251665738391,0.4537826143962239,0.3555408970976253,0.3555408970976253,0.3555408970976253,0.3555408970976253,0.3555408970976254,0.3555408970976254,-1.4901801145534272,0.10253461386978524,0.4871134020618557,0.21788126029195026
25%,chron5,-0.48849796350872543,0.9147144564750535,0.49512305778552085,0.46195195121202476,0.46195195121202476,0.46195195121202476,0.46195195121202476,0.46195195121202476,0.46195195121202476,-0.7340116321422776,0.18962482775580816,0.5115020364912746,0.29824758159173065
50%,chron5,-0.47354663079312476,0.9824985456381655,0.5013503274231426,0.47354663079312476,0.47354663079312476,0.47354663079312476,0.47354663079312476,0.4735466307931247,0.4735466307931247,-0.6783697591746212,0.20239007298552014,0.5264533692068752,0.30466655579175006
75%,chron5,-0.46195195121202476,0.9970394570354191,0.5104729870510685,0.48849796350872543,0.48849796350872543,0.48849796350872543,0.48849796350872543,0.48849796350872543,0.48849796350872543,-0.6057807958139645,0.22927730910182945,0.5380480487879752,0.3208763007977875
max,chron5,-0.3555408970976253,0.9996359959555108,0.5292136287083821,0.5128865979381443,0.5128865979381443,0.5128865979381443,0.5128865979381443,0.5128865979381443,0.5128865979381443,-0.4136271352562306,0.2629174357081333,0.6444591029023746,0.3400095468284228
count,chron10,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
mean,chron10,-0.47056186878971096,0.9041427073561067,0.4862455056999325,0.47056186878971096,0.47056186878971096,0.47056186878971096,0.47056186878971096,0.47056186878971096,0.47056186878971096,-0.6931096033384739,0.20155966480989984,0.529438131210289,0.29956604763165295
std,chron10,0.035349557325622116,0.07169285552368514,0.0152685882740054,0.035349557325622116,0.035349557325622116,0.035349557325622116,0.035349557325622116,0.035349557325622116,0.035349557325622116,0.25018443165306015,0.039188490906023665,0.03534955732562213,0.026945233579366464
min,chron10,-0.5135309278350515,0.7338748053296418,0.44328300425861406,0.35092348284960423,0.35092348284960423,0.35092348284960423,0.35092348284960423,0.35092348284960423,0.35092348284960423,-1.6374255474139776,0.1007775090672518,0.4864690721649485,0.213604591297642
25%,chron10,-0.49581116345274007,0.8614950433030756,0.4794050620383191,0.45793710379724706,0.45793710379724706,0.45793710379724706,0.45793710379724706,0.45793710379724695,0.45793710379724695,-0.7675376588879139,0.1830097535295084,0.50418883654726,0.2895099527655991
50%,chron10,-0.4746097711607617,0.9133849543372368,0.48912700584015945,0.4746097711607617,0.4746097711607617,0.4746097711607617,0.4746097711607617,0.4746097711607617,0.4746097711607617,-0.6576716002426866,0.20322966443692156,0.5253902288392382,0.3022837487971052
75%,chron10,-0.45793710379724706,0.962930075718866,0.4978977352835491,0.49581116345274007,0.49581116345274007,0.49581116345274007,0.49581116345274007,0.49581116345274007,0.49581116345274007,-0.529083135390588,0.22687430545844817,0.5420628962027529,0.31821108392888886
